id_title;title;commentCount;dislikeCount;likeCount;viewCount;commentators_uniq;comments_obscene_cnt;video_age
9850;И снова темно;0;1;7;603;;;210
9851;И снова темно;0;0;11;1166;;;490
9852;И снова темно (Live);0;0;0;38;;;210
9853;И я уезжаю;0;0;0;150;;;272
9854;И. С. Бах - Сюита №2 - Скерцо - J. S. Bach - Suite No 2 - Badinerie;55;19;809;109127;27;0;2109
9855;"И. Николаев и Юлия Проскурякова ""Ну зачем мы ссоримся""";11;70;518;209667;8;0;2628
9856;И. С. Бах - Страсти по Матфею – J. S. Bach - Passio Domini nostri Jesu Christi secundum Matthaeum;115;20;1220;198990;66;0;1446
9857;И. С. Бах Органная хоральная прелюдия фа минор - J.S. Bach Prelude;46;7;291;30673;27;0;1500
9858;"И.Николаев в программе ""Здоровье""";10;6;24;4259;5;0;2236
9859;"И.Николаев и Ю. Проскурякова:""Говорим и показываем""";7;94;346;131205;7;0;2262
9860;"И.Николаев и Ю.Проскурякова ""Две звезды""";7;7;21;5420;;;2457
9861;"И.Николаев и Ю.Проскурякова в передаче ""Свадебный переполох""";69;279;946;413769;6;0;2055
9862;"И.Николаев и Юлия Проскурякова ""Одна надежда на любовь""";24;104;727;348013;3;0;2993
9863;"И.Николаев, Н.Басков и В.Меладзе - ""Сердце красавицы""";1;28;216;49783;;;2993
9864;И.С. Бах Токката и фуга ре минор для органа I Baсh Toссata i fuga re minor BWV 565;380;181;5395;571872;202;0;1677
9865;И.С.Бах - Прелюдия до-мажор;7;4;144;13889;5;0;1153
9866;И.С.Бах - Токката ре-минор;2;0;9;1500;1;0;1124
9867;И.С.Бах/Б.Марчелло - Концерт ре минор BWV 974;4;0;20;2212;3;0;1000
9868;ИДИ КО МНЕ (фильм о фильме);9;5;146;19036;9;0;2251
9869;ИЗДЕВАТЕЛЬСТВО;0;0;11;408;;;143
9870;ИИСУС;0;0;3;277;;;143
9871;ИКРА ТВ поздравляет с Новым Годом!;8;6;25;1360;8;0;2268
9872;ИНДАБЛЭК - Самообман (feat. Call me Artur) Премьера 2019;24;40;198;6012;;;16
9873;ИРИНА ДУБЦОВА — Я ТАК ЛЮБЛЮ ТЕБЯ, КОГДА ТЫ ДАЛЕКО ★ КОНЦЕРТ ПАМЯТИ МИХАИЛА КРУГА ★ LIVE ★;0;3;42;4746;;;226
9874;Иван Банников - Пелена любви (Official video);2;7;74;28433;1;0;2695
9875;Иван Говнов;0;1;18;984;;;275
9876;Иван Дорн & Антоха МС - Телепорт / live on Atlas Weekend '17/;53;50;1747;104424;47;0;622
9877;Иван Дорн & Антоха МС – Новогодняя;20;18;720;19446;19;0;439
9878;Иван Дорн - О Музыка;13;11;205;21369;8;1;880
9879;Иван Дорн и Антоха MC - О музыка;75;89;3252;257670;51;0;821
9880;Иван Дорн исполняет песню Антохи МС - О Музыка !;7;12;67;9476;;;1100
